cellIndex,x,y,z,vol,P,S,material
88,302.9979407,0.0,1.5,116355.1266,13.5,1.0,4
89,370.9708906,0.0,1.5,174415.8042,13.5,1.0,4
90,454.1925313,0.0,1.5,261448.495,13.5,1.0,4
91,0.057038782,0.0,2.5,0.004473552,12.5,1.0,2
92,0.071054976,0.0,2.5,0.006942262,12.5,1.0,2
93,0.088515382,0.0,2.5,0.010773318,12.5,1.0,2
94,0.11026635,0.0,2.5,0.016718526,12.5,1.0,2
95,0.137362204,0.0,2.5,0.02594457,12.5,1.0,2
96,0.169486032,0.0,2.5,0.036406086,12.5,1.0,4
97,0.207507629,0.0,2.5,0.054572558,12.5,1.0,4
98,0.25405879,0.0,2.5,0.081804015,12.5,1.0,4
99,0.31105299,0.0,2.5,0.122623845,12.5,1.0,4
100,0.380832967,0.0,2.5,0.183812585,12.5,1.0,4
101,0.466267014,0.0,2.5,0.275534226,12.5,1.0,4
102,0.570866881,0.0,2.5,0.413024548,12.5,1.0,4
103,0.698932127,0.0,2.5,0.619121914,12.5,1.0,4
104,0.855726851,0.0,2.5,0.928060926,12.5,1.0,4
105,1.047696071,0.0,2.5,1.391159096,12.5,1.0,4
106,1.282730647,0.0,2.5,2.08534114,12.5,1.0,4
107,1.570491632,0.0,2.5,3.125916859,12.5,1.0,4
108,1.922807389,0.0,2.5,4.685735115,12.5,1.0,4
109,2.354159794,0.0,2.5,7.023895569,12.5,1.0,4
110,2.882279507,0.0,2.5,10.52878742,12.5,1.0,4
111,3.528874795,0.0,2.5,15.78260433,12.5,1.0,4
112,4.320523837,0.0,2.5,23.65805192,12.5,1.0,4
113,5.289767224,0.0,2.5,35.46331193,12.5,1.0,4
114,6.476445528,0.0,2.5,53.15934285,12.5,1.0,4
115,7.929336944,0.0,2.5,79.6856125,12.5,1.0,4
116,9.70816231,0.0,2.5,119.4483697,12.5,1.0,4
117,11.88603992,0.0,2.5,179.0525615,12.5,1.0,4
118,14.55249103,0.0,2.5,268.3989731,12.5,1.0,4
119,17.81711963,0.0,2.5,402.3288366,12.5,1.0,4
120,21.81411768,0.0,2.5,603.0890912,12.5,1.0,4
121,26.70778107,0.0,2.5,904.0277973,12.5,1.0,4
122,32.69926292,0.0,2.5,1355.133545,12.5,1.0,4
123,40.03484202,0.0,2.5,2031.339004,12.5,1.0,4
124,49.016046,0.0,2.5,3044.967903,12.5,1.0,4
125,60.01204561,0.0,2.5,4564.393,12.5,1.0,4
126,73.47482941,0.0,2.5,6842.004292,12.5,1.0,4
127,89.95778268,0.0,2.5,10256.13323,12.5,1.0,4
128,110.1384342,0.0,2.5,15373.89694,12.5,1.0,4
129,134.846306,0.0,2.5,23045.4014,12.5,1.0,4
130,165.0970106,0.0,2.5,34544.95159,12.5,1.0,4
131,202.1339977,0.0,2.5,51782.7249,12.5,1.0,4
132,247.4796659,0.0,2.5,77622.06846,12.5,1.0,4
133,302.9979407,0.0,2.5,116355.1266,12.5,1.0,4
134,370.9708906,0.0,2.5,174415.8042,12.5,1.0,4
135,454.1925313,0.0,2.5,261448.495,12.5,1.0,4
136,0.057038782,0.0,3.5,0.004473552,11.5,1.0,2
137,0.071054976,0.0,3.5,0.006942262,11.5,1.0,2
138,0.088515382,0.0,3.5,0.010773318,11.5,1.0,2
139,0.11026635,0.0,3.5,0.016718526,11.5,1.0,2
140,0.137362204,0.0,3.5,0.02594457,11.5,1.0,2
141,0.169486032,0.0,3.5,0.036406086,11.5,1.0,4
142,0.207507629,0.0,3.5,0.054572558,11.5,1.0,4
143,0.25405879,0.0,3.5,0.081804015,11.5,1.0,4
144,0.31105299,0.0,3.5,0.122623845,11.5,1.0,4
145,0.380832967,0.0,3.5,0.183812585,11.5,1.0,4
146,0.466267014,0.0,3.5,0.275534226,11.5,1.0,4
147,0.570866881,0.0,3.5,0.413024548,11.5,1.0,4
148,0.698932127,0.0,3.5,0.619121914,11.5,1.0,4
149,0.855726851,0.0,3.5,0.928060926,11.5,1.0,4
150,1.047696071,0.0,3.5,1.391159096,11.5,1.0,4
151,1.282730647,0.0,3.5,2.08534114,11.5,1.0,4
152,1.570491632,0.0,3.5,3.125916859,11.5,1.0,4
153,1.922807389,0.0,3.5,4.685735115,11.5,1.0,4
154,2.354159794,0.0,3.5,7.023895569,11.5,1.0,4
155,2.882279507,0.0,3.5,10.52878742,11.5,1.0,4
156,3.528874795,0.0,3.5,15.78260433,11.5,1.0,4
157,4.320523837,0.0,3.5,23.65805192,11.5,1.0,4
158,5.289767224,0.0,3.5,35.46331193,11.5,1.0,4
159,6.476445528,0.0,3.5,53.15934285,11.5,1.0,4
160,7.929336944,0.0,3.5,79.6856125,11.5,1.0,4
161,9.70816231,0.0,3.5,119.4483697,11.5,1.0,4
162,11.88603992,0.0,3.5,179.0525615,11.5,1.0,4
163,14.55249103,0.0,3.5,268.3989731,11.5,1.0,4
164,17.81711963,0.0,3.5,402.3288366,11.5,1.0,4
165,21.81411768,0.0,3.5,603.0890912,11.5,1.0,4
166,26.70778107,0.0,3.5,904.0277973,11.5,1.0,4
167,32.69926292,0.0,3.5,1355.133545,11.5,1.0,4
168,40.03484202,0.0,3.5,2031.339004,11.5,1.0,4
169,49.016046,0.0,3.5,3044.967903,11.5,1.0,4
170,60.01204561,0.0,3.5,4564.393,11.5,1.0,4
171,73.47482941,0.0,3.5,6842.004292,11.5,1.0,4
172,89.95778268,0.0,3.5,10256.13323,11.5,1.0,4
173,110.1384342,0.0,3.5,15373.89694,11.5,1.0,4
174,134.846306,0.0,3.5,23045.4014,11.5,1.0,4
175,165.0970106,0.0,3.5,34544.95159,11.5,1.0,4
176,202.1339977,0.0,3.5,51782.7249,11.5,1.0,4
177,247.4796659,0.0,3.5,77622.06846,11.5,1.0,4
178,302.9979407,0.0,3.5,116355.1266,11.5,1.0,4
179,370.9708906,0.0,3.5,174415.8042,11.5,1.0,4
180,454.1925313,0.0,3.5,261448.495,11.5,1.0,4
181,0.057038782,0.0,4.5,0.004473552,10.5,1.0,2
182,0.071054976,0.0,4.5,0.006942262,10.5,1.0,2
183,0.088515382,0.0,4.5,0.010773318,10.5,1.0,2
184,0.11026635,0.0,4.5,0.016718526,10.5,1.0,2
185,0.137362204,0.0,4.5,0.02594457,10.5,1.0,2
186,0.169486032,0.0,4.5,0.036406086,10.5,1.0,4
