x,y,z,vx,vy,vz
0.057038782,0.0,0.5,-52.1875692949825,0.0,61.97327861071684
0.071054976,0.0,0.5,-45.40171841432794,0.0,-0.0005281507241816068
0.088515382,0.0,0.5,-36.445617686319345,0.0,-0.0008638206112404334
0.11026635,0.0,0.5,-29.257155247035943,0.0,-0.0011996149473050147
0.137362204,0.0,0.5,-23.422026504378724,0.0,-0.0015356771779912555
0.169486032,0.0,0.5,-18.934389920643163,0.0,-0.001856013164613152
0.207507629,0.0,0.5,-15.490477024495968,0.0,-0.0021665156924740997
0.25405879,0.0,0.5,-12.651400582821994,0.0,-0.0024784550059778984
0.31105299,0.0,0.5,-10.333765654634293,0.0,-0.002792835985471913
0.380832967,0.0,0.5,-8.439975557014574,0.0,-0.0031112828029997716
0.466267014,0.0,0.5,-6.89322541512029,0.0,-0.0034363697698213784
0.570866881,0.0,0.5,-5.629859358109854,0.0,-0.003772079587748413
0.698932127,0.0,0.5,-4.59782744903909,0.0,-0.004124377135726253
0.855726851,0.0,0.5,-3.7547470925128112,0.0,-0.004501790544697876
1.047696071,0.0,0.5,-3.065935447508341,0.0,-0.004915676540890374
1.282730647,0.0,0.5,-2.5030561867032004,0.0,-0.005379454783699991
1.570491632,0.0,0.5,-2.042936218701759,0.0,-0.005905545773009542
1.922807389,0.0,0.5,-1.666613590544107,0.0,-0.0064983376127340205
2.354159794,0.0,0.5,-1.3585569887386668,0.0,-0.007142103523459183
2.882279507,0.0,0.5,-1.1060377728253576,0.0,-0.0077858049058251635
3.528874795,0.0,0.5,-0.8986358973353822,0.0,-0.00833281669322706
4.320523837,0.0,0.5,-0.7278650047120131,0.0,-0.008649614150944755
5.289767224,0.0,0.5,-0.5868946534387824,0.0,-0.00860432037510254
6.476445528,0.0,0.5,-0.47032790299138255,0.0,-0.008125987027680545
7.929336944,0.0,0.5,-0.3739793176954499,0.0,-0.007249255647066206
9.70816231,0.0,0.5,-0.2946177423180518,0.0,-0.006107323235181973
11.88603992,0.0,0.5,-0.2296926173250401,0.0,-0.00487415440448375
14.55249103,0.0,0.5,-0.17709726766121794,0.0,-0.003698993746875639
17.81711963,0.0,0.5,-0.13501189330170582,0.0,-0.002674737067817691
21.81411768,0.0,0.5,-0.10181567880584624,0.0,-0.0018429324099334325
26.70778107,0.0,0.5,-0.07603235622733169,0.0,-0.0012111232240482291
32.69926292,0.0,0.5,-0.056291671834358244,0.0,-0.0007650189847711411
40.03484202,0.0,0.5,-0.04131748242651353,0.0,-0.0004748627973755284
49.016046,0.0,0.5,-0.029956665330610973,0.0,-0.0003012965200700508
60.01204561,0.0,0.5,-0.021243022885816427,0.0,-0.0002030590493606766
73.47482941,0.0,0.5,-0.014465625238728604,0.0,-0.00014502579778834205
89.95778268,0.0,0.5,-0.009198618578659095,0.0,-0.00010368347087592713
110.1384342,0.0,0.5,-0.0052572208763003205,0.0,-6.828502359353887e-5
134.846306,0.0,0.5,-0.0025708663935719365,0.0,-3.800695880304587e-5
165.0970106,0.0,0.5,-0.0010135363277023895,0.0,-1.637966436880928e-5
202.1339977,0.0,0.5,-0.0003014542160714103,0.0,-5.015200143741206e-6
247.4796659,0.0,0.5,-6.334334682040334e-5,0.0,-1.01576171676999e-6
302.9979407,0.0,0.5,-8.897257519415056e-6,0.0,-1.2987927532159995e-7
370.9708906,0.0,0.5,-8.038882499144846e-7,0.0,-1.0240182034635e-8
454.1925313,0.0,0.5,-3.27528833090814e-8,0.0,-4.881065008549159e-10
0.057038782,0.0,1.5,-52.2126749968926,0.0,61.964711180983734
0.071054976,0.0,1.5,-45.423561606900755,0.0,-0.0006919979669076817
0.088515382,0.0,1.5,-36.46315623097288,0.0,-0.0011318869240762913
0.11026635,0.0,1.5,-29.271241742204193,0.0,-0.0015721368265366712
0.137362204,0.0,1.5,-23.433317011865107,0.0,-0.0020131624975386845
0.169486032,0.0,1.5,-18.943535015259457,0.0,-0.0024343461813950275
0.207507629,0.0,1.5,-15.497984663434723,0.0,-0.0028438880971275032
0.25405879,0.0,1.5,-12.657568846690545,0.0,-0.0032575326870793275
0.31105299,0.0,1.5,-10.33885348399811,0.0,-0.003678087030192982
0.380832967,0.0,1.5,-8.444198157492586,0.0,-0.004110007624399461
0.466267014,0.0,1.5,-6.896762746915448,0.0,-0.004560189973716863
0.570866881,0.0,1.5,-5.6328626759612925,0.0,-0.005038965314240623
0.698932127,0.0,1.5,-4.600423777698382,0.0,-0.005561162730218548
0.855726851,0.0,1.5,-3.7570412804890427,0.0,-0.00614681699196066
1.047696071,0.0,1.5,-3.068009281993423,0.0,-0.006820615998548648
1.282730647,0.0,1.5,-2.5049642273787707,0.0,-0.007608511213681339
1.570491632,0.0,1.5,-2.0446989543875853,0.0,-0.008529354391239466
1.922807389,0.0,1.5,-1.668210675178348,0.0,-0.009579788885066437
2.354159794,0.0,1.5,-1.3599264303034495,0.0,-0.010713287505465715
2.882279507,0.0,1.5,-1.1070889970119169,0.0,-0.011820271288130771
3.528874795,0.0,1.5,-0.8992814595596516,0.0,-0.012724087405954253
4.320523837,0.0,1.5,-0.7280642624912387,0.0,-0.013210363313214945
5.289767224,0.0,1.5,-0.5866877149721641,0.0,-0.013094709061417506
6.476445528,0.0,1.5,-0.469834743784096,0.0,-0.012304505217377687
7.929336944,0.0,1.5,-0.3733585612805212,0.0,-0.010925179628358853
9.70816231,0.0,1.5,-0.2940098314021327,0.0,-0.009172746585816701
11.88603992,0.0,1.5,-0.22918281552527014,0.0,-0.007306224572346218
14.55249103,0.0,1.5,-0.1767136322475441,0.0,-0.0055398103101347625
17.81711963,0.0,1.5,-0.1347456408114009,0.0,-0.004004718919689902
21.81411768,0.0,1.5,-0.10164308757878174,0.0,-0.0027592743167761096
26.70778107,0.0,1.5,-0.07592781830010881,0.0,-0.0018135066379456688
32.69926292,0.0,1.5,-0.05623290630423068,0.0,-0.0011457438098434916
40.03484202,0.0,1.5,-0.041287022253441844,0.0,-0.0007113999445663949
49.016046,0.0,1.5,-0.029942011595686026,0.0,-0.0004515555189923678
60.01204561,0.0,1.5,-0.02123616746023203,0.0,-0.00030444687962299813
73.47482941,0.0,1.5,-0.014462124930807504,0.0,-0.00021749751301718945
89.95778268,0.0,1.5,-0.009196449418269251,0.0,-0.00015551508627180267
110.1384342,0.0,1.5,-0.005255704458277162,0.0,-0.0001024231392085487
134.846306,0.0,1.5,-0.0025698704614232288,0.0,-5.700628570934082e-5
165.0970106,0.0,1.5,-0.0010130048604937072,0.0,-2.456632507856064e-5
202.1339977,0.0,1.5,-0.0003012456706010595,0.0,-7.5213025478651725e-6
247.4796659,0.0,1.5,-6.328762608069669e-5,0.0,-1.5232246268885865e-6
302.9979407,0.0,1.5,-8.887683282510765e-6,0.0,-1.9475096840885133e-7
370.9708906,0.0,1.5,-8.028666570605778e-7,0.0,-1.5353819548323296e-8
454.1925313,0.0,1.5,-3.2704598607973044e-8,0.0,-7.107644624572821e-10
0.057038782,0.0,2.5,-52.25335804927507,0.0,61.99955936911727
0.071054976,0.0,2.5,-45.45896240317537,0.0,-0.0005380854885147355
0.088515382,0.0,2.5,-36.491593641076584,0.0,-0.000881456221546609
0.11026635,0.0,2.5,-29.294105964999073,0.0,-0.0012281505417523254
0.137362204,0.0,2.5,-23.451683001028723,0.0,-0.0015818054226050225
0.169486032,0.0,2.5,-18.958469213854812,0.0,-0.0019308132225522678
0.207507629,0.0,2.5,-15.510324288352749,0.0,-0.0022865489588735945
0.25405879,0.0,2.5,-12.667817264911552,0.0,-0.0026714614493251166
0.31105299,0.0,2.5,-10.347454232575286,0.0,-0.0031017824714931175
0.380832967,0.0,2.5,-8.451527488247194,0.0,-0.0036011186257490337
0.466267014,0.0,2.5,-6.903141784776846,0.0,-0.00420256362976678
0.570866881,0.0,2.5,-5.638564543792548,0.0,-0.0049503550666704045
0.698932127,0.0,2.5,-4.605674738445692,0.0,-0.005899906355120402
0.855726851,0.0,2.5,-3.7620149064659176,0.0,-0.007114295150816031
1.047696071,0.0,2.5,-3.0728135351827675,0.0,-0.008654607322890574
1.282730647,0.0,2.5,-2.509623819526396,0.0,-0.010561564861027363
1.570491632,0.0,2.5,-2.0491397990893407,0.0,-0.012827668866925518
1.922807389,0.0,2.5,-1.6722585594556751,0.0,-0.015363805227422395
2.354159794,0.0,2.5,-1.3633344761244315,0.0,-0.01797188435408994
2.882279507,0.0,2.5,-1.1096020903884933,0.0,-0.02034256677127041
3.528874795,0.0,2.5,-0.9007269871906369,0.0,-0.02209743782548552
4.320523837,0.0,2.5,-0.7284339225142521,0.0,-0.022880362075703032
5.289767224,0.0,2.5,-0.5861645578993269,0.0,-0.022473687100090387
6.476445528,0.0,2.5,-0.4687412308171515,0.0,-0.020887672485191657
7.929336944,0.0,2.5,-0.37204839903163855,0.0,-0.018370063119992838
9.70816231,0.0,2.5,-0.29276262000367453,0.0,-0.015321240743313327
11.88603992,0.0,2.5,-0.22815349714094263,0.0,-0.01215809572759131
14.55249103,0.0,2.5,-0.1759452011855761,0.0,-0.009203512241537383
17.81711963,0.0,2.5,-0.13421408098584015,0.0,-0.00664983500960976
21.81411768,0.0,2.5,-0.10129888580119596,0.0,-0.004581725697266911
26.70778107,0.0,2.5,-0.07571938935888044,0.0,-0.003011935909425783
32.69926292,0.0,2.5,-0.05611574042775079,0.0,-0.0019036355669875915
40.03484202,0.0,2.5,-0.04122628608920051,0.0,-0.001182691581628799
49.016046,0.0,2.5,-0.029912786267697986,0.0,-0.0007512975979843845
60.01204561,0.0,2.5,-0.02122248810684291,0.0,-0.0005069401430189851
73.47482941,0.0,2.5,-0.01445513422827272,0.0,-0.00036235888912159543
89.95778268,0.0,2.5,-0.009192113427176234,0.0,-0.00025915815416422804
110.1384342,0.0,2.5,-0.005252671943335717,0.0,-0.00017069059059195176
134.846306,0.0,2.5,-0.0025678786371423636,0.0,-9.499663460404066e-5
165.0970106,0.0,2.5,-0.0010119420024117202,0.0,-4.093330326861603e-5
202.1339977,0.0,2.5,-0.0003008286508205735,0.0,-1.25305122133442e-5
247.4796659,0.0,2.5,-6.317621648207147e-5,0.0,-2.5373146249460294e-6
302.9979407,0.0,2.5,-8.868542562221856e-6,0.0,-3.2435840571819724e-7
370.9708906,0.0,2.5,-8.008245335700807e-7,0.0,-2.5568306937061035e-8
454.1925313,0.0,2.5,-3.2608090417311645e-8,0.0,-1.1762481501202414e-9
0.057038782,0.0,3.5,-52.26383677041092,0.0,61.991815477366565
0.071054976,0.0,3.5,-45.46814918129514,0.0,0.005037504712406017
0.088515382,0.0,3.5,-36.499168918831025,0.0,0.008120262764598313
0.11026635,0.0,3.5,-29.30054892299313,0.0,0.01092619483617848
0.137362204,0.0,3.5,-23.45741918765985,0.0,0.013134998371675767
0.169486032,0.0,3.5,-18.96388243377762,0.0,0.014106205000991327
0.207507629,0.0,3.5,-15.515719088703543,0.0,0.014755345273301534
0.25405879,0.0,3.5,-12.673460144077795,0.0,0.015029585268898336
0.31105299,0.0,3.5,-10.353599386092261,0.0,0.014827865166201508
0.380832967,0.0,3.5,-8.458405596560214,0.0,0.014035620647763262
0.466267014,0.0,3.5,-6.910940676201357,0.0,0.01253155087390757
0.570866881,0.0,3.5,-5.647399553412496,0.0,0.010199935888358344
0.698932127,0.0,3.5,-4.615550122514146,0.0,0.00695053980868991
0.855726851,0.0,3.5,-3.772782009113029,0.0,0.0027463753094467626
1.047696071,0.0,3.5,-3.0841374926045697,0.0,-0.0023624411996570117
1.282730647,0.0,3.5,-2.520976759371653,0.0,-0.008204405042167313
1.570491632,0.0,3.5,-2.059840608023096,0.0,-0.014462438431967185
1.922807389,0.0,3.5,-1.681571638672531,0.0,-0.020674382496106727
2.354159794,0.0,3.5,-1.3706186937687863,0.0,-0.026272525203067144
2.882279507,0.0,3.5,-1.1144709321696586,0.0,-0.030668165080935894
3.528874795,0.0,3.5,-0.9031584345566824,0.0,-0.0333695305871372
4.320523837,0.0,3.5,-0.7287757214529464,0.0,-0.034100651200539206
5.289767224,0.0,3.5,-0.585024096442979,0.0,-0.03287796827350065
6.476445528,0.0,3.5,-0.46680537062528676,0.0,-0.030011101390971826
7.929336944,0.0,3.5,-0.369909878183576,0.0,-0.0260204276733141
9.70816231,0.0,3.5,-0.29081710179895753,0.0,-0.02149917851284551
11.88603992,0.0,3.5,-0.22658763089970774,0.0,-0.016973989582103898
14.55249103,0.0,3.5,-0.1747904861715588,0.0,-0.012821096245310882
17.81711963,0.0,3.5,-0.13341929183794687,0.0,-0.009257677550738953
21.81411768,0.0,3.5,-0.10078506021946038,0.0,-0.006378640889039135
26.70778107,0.0,3.5,-0.07540836272193902,0.0,-0.004194568734202401
