cellIndex	x	y	z	vol	b	h0	material	xNum	yNum	zNum	xInc	yInc	zInc	xStep	yStep	zStep
72	36.1830127	0.05	24.24871131	1	1	0	59	1	1	1	0	0	0	1	1	1
73	36.6830127	0.05	23.3826859	1	1	0	59	1	1	1	0	0	0	1	1	1
74	37.1830127	0.05	22.5166605	1	1	0	64	1	1	1	0	0	0	1	1	1
75	37.6830127	0.05	21.65063509	1	1	0	87	1	1	1	0	0	0	1	1	1
76	38.1830127	0.05	20.78460969	1	1	0	87	1	1	1	0	0	0	1	1	1
77	38.6830127	0.05	19.91858429	1	1	0	99	1	1	1	0	0	0	1	1	1
78	39.1830127	0.05	19.05255888	1	1	0	99	1	1	1	0	0	0	1	1	1
79	39.6830127	0.05	18.18653348	1	1	0	91	1	1	1	0	0	0	1	1	1
80	40.1830127	0.05	17.32050808	1	1	0	98	1	1	1	0	0	0	1	1	1
81	40.6830127	0.05	16.45448267	1	1	0	98	1	1	1	0	0	0	1	1	1
82	41.1830127	0.05	15.58845727	1	1	0	99	1	1	1	0	0	0	1	1	1
83	41.6830127	0.05	14.72243186	1	1	0	99	1	1	1	0	0	0	1	1	1
84	42.1830127	0.05	13.85640646	1	1	0	90	1	1	1	0	0	0	1	1	1
85	42.6830127	0.05	12.99038106	1	1	0	99	1	1	1	0	0	0	1	1	1
86	43.1830127	0.05	12.12435565	1	1	0	99	1	1	1	0	0	0	1	1	1
87	43.6830127	0.05	11.25833025	1	1	0	88	1	1	1	0	0	0	1	1	1
88	44.1830127	0.05	10.39230485	1	1	0	88	1	1	1	0	0	0	1	1	1
89	44.6830127	0.05	9.526279442	1	1	0	88	1	1	1	0	0	0	1	1	1
90	45.1830127	0.05	8.660254038	1	1	0	88	1	1	1	0	0	0	1	1	1
91	45.6830127	0.05	7.794228634	1	1	0	94	1	1	1	0	0	0	1	1	1
92	46.1830127	0.05	6.92820323	1	1	0	94	1	1	1	0	0	0	1	1	1
93	46.6830127	0.05	6.062177826	1	1	0	87	1	1	1	0	0	0	1	1	1
94	47.1830127	0.05	5.196152423	1	1	0	87	1	1	1	0	0	0	1	1	1
95	47.6830127	0.05	4.330127019	1	1	0	87	1	1	1	0	0	0	1	1	1
96	48.1830127	0.05	3.464101615	1	1	0	94	1	1	1	0	0	0	1	1	1
97	48.6830127	0.05	2.598076211	1	1	0	86	1	1	1	0	0	0	1	1	1
98	49.1830127	0.05	1.732050808	1	1	0	92	1	1	1	0	0	0	1	1	1
99	49.6830127	0.05	0.866025404	1	1	0	89	1	1	1	0	0	0	1	1	1
100	50.1830127	0.05	0	1	1	0	89	1	1	1	0	0	0	1	1	1
101	1.549038106	0.05	86.23651497	1	1	0	68	1	1	1	0	0	0	1	1	1
102	2.049038106	0.05	85.37048957	1	1	0	68	1	1	1	0	0	0	1	1	1
103	2.549038106	0.05	84.50446417	1	1	0	68	1	1	1	0	0	0	1	1	1
104	3.049038106	0.05	83.63843876	1	1	0	68	1	1	1	0	0	0	1	1	1
105	3.549038106	0.05	82.77241336	1	1	0	68	1	1	1	0	0	0	1	1	1
106	4.049038106	0.05	81.90638796	1	1	0	68	1	1	1	0	0	0	1	1	1
107	4.549038106	0.05	81.04036255	1	1	0	66	1	1	1	0	0	0	1	1	1
108	5.049038106	0.05	80.17433715	1	1	0	66	1	1	1	0	0	0	1	1	1
109	5.549038106	0.05	79.30831174	1	1	0	66	1	1	1	0	0	0	1	1	1
110	6.049038106	0.05	78.44228634	1	1	0	39	1	1	1	0	0	0	1	1	1
111	6.549038106	0.05	77.57626094	1	1	0	54	1	1	1	0	0	0	1	1	1
112	7.049038106	0.05	76.71023553	1	1	0	51	1	1	1	0	0	0	1	1	1
113	7.549038106	0.05	75.84421013	1	1	0	51	1	1	1	0	0	0	1	1	1
114	8.049038106	0.05	74.97818473	1	1	0	41	1	1	1	0	0	0	1	1	1
115	8.549038106	0.05	74.11215932	1	1	0	41	1	1	1	0	0	0	1	1	1
116	9.049038106	0.05	73.24613392	1	1	0	41	1	1	1	0	0	0	1	1	1
117	9.549038106	0.05	72.38010851	1	1	0	37	1	1	1	0	0	0	1	1	1
118	10.04903811	0.05	71.51408311	1	1	0	8	1	1	1	0	0	0	1	1	1
119	10.54903811	0.05	70.64805771	1	1	0	8	1	1	1	0	0	0	1	1	1
120	11.04903811	0.05	69.7820323	1	1	0	21	1	1	1	0	0	0	1	1	1
121	11.54903811	0.05	68.9160069	1	1	0	21	1	1	1	0	0	0	1	1	1
122	12.04903811	0.05	68.0499815	1	1	0	52	1	1	1	0	0	0	1	1	1
123	12.54903811	0.05	67.18395609	1	1	0	21	1	1	1	0	0	0	1	1	1
124	13.04903811	0.05	66.31793069	1	1	0	53	1	1	1	0	0	0	1	1	1
125	13.54903811	0.05	65.45190528	1	1	0	52	1	1	1	0	0	0	1	1	1
126	14.04903811	0.05	64.58587988	1	1	0	43	1	1	1	0	0	0	1	1	1
127	14.54903811	0.05	63.71985448	1	1	0	62	1	1	1	0	0	0	1	1	1
128	15.04903811	0.05	62.85382907	1	1	0	62	1	1	1	0	0	0	1	1	1
129	15.54903811	0.05	61.98780367	1	1	0	23	1	1	1	0	0	0	1	1	1
130	16.04903811	0.05	61.12177826	1	1	0	23	1	1	1	0	0	0	1	1	1
131	16.54903811	0.05	60.25575286	1	1	0	23	1	1	1	0	0	0	1	1	1
132	17.04903811	0.05	59.38972746	1	1	0	12	1	1	1	0	0	0	1	1	1
133	17.54903811	0.05	58.52370205	1	1	0	12	1	1	1	0	0	0	1	1	1
134	18.04903811	0.05	57.65767665	1	1	0	12	1	1	1	0	0	0	1	1	1
135	18.54903811	0.05	56.79165125	1	1	0	4	1	1	1	0	0	0	1	1	1
136	19.04903811	0.05	55.92562584	1	1	0	4	1	1	1	0	0	0	1	1	1
137	19.54903811	0.05	55.05960044	1	1	0	38	1	1	1	0	0	0	1	1	1
138	20.04903811	0.05	54.19357503	1	1	0	21	1	1	1	0	0	0	1	1	1
139	20.54903811	0.05	53.32754963	1	1	0	12	1	1	1	0	0	0	1	1	1
140	21.04903811	0.05	52.46152423	1	1	0	19	1	1	1	0	0	0	1	1	1
141	21.54903811	0.05	51.59549882	1	1	0	27	1	1	1	0	0	0	1	1	1
