cellStart	numCellStart	stepCellStart	numPopulate	stepPopulate	del1	del2	A	zConnect
395	2	45	1	1	6.052499135	7.410284668	415.0957768	false
396	2	45	1	1	7.410284668	9.072668601	508.2161603	false
397	2	45	1	1	9.072668601	11.10798292	622.2266764	false
398	2	45	1	1	11.10798292	13.59988886	761.8137066	false
399	2	45	1	1	13.59988886	16.65081574	932.7149503	false
400	2	45	1	1	16.65081574	20.38617137	1141.955272	false
401	2	45	1	1	20.38617137	24.95949686	1398.135457	false
402	2	45	1	1	24.95949686	30.55877791	1711.785745	false
403	2	45	1	1	30.55877791	37.41417196	2095.798673	false
404	2	45	1	1	37.41417196	45.80746873	2565.959025	false
451	5	45	1	1	0.006241261	0.007774932	0.39760024	false
452	5	45	1	1	0.007774932	0.009685474	0.495302921	false
453	5	45	1	1	0.009685474	0.012065494	0.617014173	false
454	5	45	1	1	0.012065494	0.015030359	0.768633645	false
455	5	45	1	1	0.015030359	0.017093469	0.957510713	false
456	5	45	1	1	0.017093469	0.020928128	1.172313584	false
457	5	45	1	1	0.020928128	0.025623033	1.435304192	false
458	5	45	1	1	0.025623033	0.031371168	1.757292716	false
459	5	45	1	1	0.031371168	0.038408809	2.151514438	false
460	5	45	1	1	0.038408809	0.047025237	2.634173767	false
461	5	45	1	1	0.047025237	0.05757463	3.22511033	false
462	5	45	1	1	0.05757463	0.070490617	3.948614464	false
463	5	45	1	1	0.070490617	0.086304107	4.834425676	false
464	5	45	1	1	0.086304107	0.105665113	5.918955074	false
465	5	45	1	1	0.105665113	0.129369463	7.246782041	false
466	5	45	1	1	0.129369463	0.158391522	8.872486662	false
467	5	45	1	1	0.158391522	0.193924235	10.86289323	false
468	5	45	1	1	0.193924235	0.237428169	13.29981704	false
469	5	45	1	1	0.237428169	0.290691544	16.28342741	false
470	5	45	1	1	0.290691544	0.355903743	19.93636509	false
471	5	45	1	1	0.355903743	0.435745299	24.40878343	false
472	5	45	1	1	0.435745299	0.533498087	29.88452036	false
473	5	45	1	1	0.533498087	0.653180217	36.58865504	false
474	5	45	1	1	0.653180217	0.7997112	44.79675972	false
475	5	45	1	1	0.7997112	0.979114166	54.84622704	false
476	5	45	1	1	0.979114166	1.198763441	67.15013853	false
477	5	45	1	1	1.198763441	1.467687669	82.21424421	false
478	5	45	1	1	1.467687669	1.796940932	100.6577514	false
479	5	45	1	1	1.796940932	2.200057123	123.2387771	false
480	5	45	1	1	2.200057123	2.693606261	150.8855103	false
481	5	45	1	1	2.693606261	3.297875594	184.7343649	false
482	5	45	1	1	3.297875594	4.037703502	226.1766918	false
483	5	45	1	1	4.037703502	4.943500475	276.9159705	false
484	5	45	1	1	4.943500475	6.052499135	339.0378296	false
485	5	45	1	1	6.052499135	7.410284668	415.0957768	false
486	5	45	1	1	7.410284668	9.072668601	508.2161603	false
487	5	45	1	1	9.072668601	11.10798292	622.2266764	false
488	5	45	1	1	11.10798292	13.59988886	761.8137066	false
489	5	45	1	1	13.59988886	16.65081574	932.7149503	false
490	5	45	1	1	16.65081574	20.38617137	1141.955272	false
491	5	45	1	1	20.38617137	24.95949686	1398.135457	false
492	5	45	1	1	24.95949686	30.55877791	1711.785745	false
493	5	45	1	1	30.55877791	37.41417196	2095.798673	false
494	5	45	1	1	37.41417196	45.80746873	2565.959025	false
1	1	0	4	45	0.5	0.5	0.004473552	true
181	1	0	4	45	0.5	0.5	0.004473552	true
2	1	0	4	45	0.5	0.5	0.006942262	true
182	1	0	4	45	0.5	0.5	0.006942262	true
3	1	0	4	45	0.5	0.5	0.010773318	true
183	1	0	4	45	0.5	0.5	0.010773318	true
4	1	0	4	45	0.5	0.5	0.016718526	true
184	1	0	4	45	0.5	0.5	0.016718526	true
5	1	0	4	45	0.5	0.5	0.02594457	true
185	1	0	4	45	0.5	0.5	0.02594457	true
6	1	0	4	45	0.5	0.5	0.036406086	true
186	1	0	4	45	0.5	0.5	0.036406086	true
7	1	0	4	45	0.5	0.5	0.054572558	true
187	1	0	4	45	0.5	0.5	0.054572558	true
8	1	0	4	45	0.5	0.5	0.081804015	true
188	1	0	4	45	0.5	0.5	0.081804015	true
9	1	0	4	45	0.5	0.5	0.122623845	true
189	1	0	4	45	0.5	0.5	0.122623845	true
10	1	0	4	45	0.5	0.5	0.183812585	true
190	1	0	4	45	0.5	0.5	0.183812585	true
11	1	0	4	45	0.5	0.5	0.275534226	true
191	1	0	4	45	0.5	0.5	0.275534226	true
12	1	0	4	45	0.5	0.5	0.413024548	true
192	1	0	4	45	0.5	0.5	0.413024548	true
13	1	0	4	45	0.5	0.5	0.619121914	true
193	1	0	4	45	0.5	0.5	0.619121914	true
14	1	0	4	45	0.5	0.5	0.928060926	true
194	1	0	4	45	0.5	0.5	0.928060926	true
15	1	0	4	45	0.5	0.5	1.391159096	true
195	1	0	4	45	0.5	0.5	1.391159096	true
16	1	0	4	45	0.5	0.5	2.08534114	true
196	1	0	4	45	0.5	0.5	2.08534114	true
17	1	0	4	45	0.5	0.5	3.125916859	true
197	1	0	4	45	0.5	0.5	3.125916859	true
18	1	0	4	45	0.5	0.5	4.685735115	true
198	1	0	4	45	0.5	0.5	4.685735115	true
19	1	0	4	45	0.5	0.5	7.023895569	true
199	1	0	4	45	0.5	0.5	7.023895569	true
20	1	0	4	45	0.5	0.5	10.52878742	true
200	1	0	4	45	0.5	0.5	10.52878742	true
21	1	0	4	45	0.5	0.5	15.78260433	true
201	1	0	4	45	0.5	0.5	15.78260433	true
22	1	0	4	45	0.5	0.5	23.65805192	true
202	1	0	4	45	0.5	0.5	23.65805192	true
23	1	0	4	45	0.5	0.5	35.46331193	true
203	1	0	4	45	0.5	0.5	35.46331193	true
24	1	0	4	45	0.5	0.5	53.15934285	true
204	1	0	4	45	0.5	0.5	53.15934285	true
25	1	0	4	45	0.5	0.5	79.6856125	true
205	1	0	4	45	0.5	0.5	79.6856125	true
26	1	0	4	45	0.5	0.5	119.4483697	true
206	1	0	4	45	0.5	0.5	119.4483697	true
27	1	0	4	45	0.5	0.5	179.0525615	true
207	1	0	4	45	0.5	0.5	179.0525615	true
28	1	0	4	45	0.5	0.5	268.3989731	true
208	1	0	4	45	0.5	0.5	268.3989731	true
29	1	0	4	45	0.5	0.5	402.3288366	true
209	1	0	4	45	0.5	0.5	402.3288366	true
30	1	0	4	45	0.5	0.5	603.0890912	true
210	1	0	4	45	0.5	0.5	603.0890912	true
31	1	0	4	45	0.5	0.5	904.0277973	true
211	1	0	4	45	0.5	0.5	904.0277973	true
32	1	0	4	45	0.5	0.5	1355.133545	true
212	1	0	4	45	0.5	0.5	1355.133545	true
33	1	0	4	45	0.5	0.5	2031.339004	true
213	1	0	4	45	0.5	0.5	2031.339004	true
34	1	0	4	45	0.5	0.5	3044.967903	true
214	1	0	4	45	0.5	0.5	3044.967903	true
35	1	0	4	45	0.5	0.5	4564.393	true
215	1	0	4	45	0.5	0.5	4564.393	true
36	1	0	4	45	0.5	0.5	6842.004292	true
216	1	0	4	45	0.5	0.5	6842.004292	true
37	1	0	4	45	0.5	0.5	10256.13323	true
217	1	0	4	45	0.5	0.5	10256.13323	true
38	1	0	4	45	0.5	0.5	15373.89694	true
218	1	0	4	45	0.5	0.5	15373.89694	true
39	1	0	4	45	0.5	0.5	23045.4014	true
219	1	0	4	45	0.5	0.5	23045.4014	true
40	1	0	4	45	0.5	0.5	34544.95159	true
220	1	0	4	45	0.5	0.5	34544.95159	true
41	1	0	4	45	0.5	0.5	51782.7249	true
221	1	0	4	45	0.5	0.5	51782.7249	true
42	1	0	4	45	0.5	0.5	77622.06846	true
222	1	0	4	45	0.5	0.5	77622.06846	true
43	1	0	4	45	0.5	0.5	116355.1266	true
223	1	0	4	45	0.5	0.5	116355.1266	true
44	1	0	4	45	0.5	0.5	174415.8042	true
224	1	0	4	45	0.5	0.5	174415.8042	true
45	1	0	4	45	0.5	0.5	261448.495	true
225	1	0	4	45	0.5	0.5	261448.495	true
226	1	0	2	45	0.5	0.5	0.004473552	true
316	1	0	2	45	0.5	0.5	0.004473552	true
227	1	0	2	45	0.5	0.5	0.006942262	true
317	1	0	2	45	0.5	0.5	0.006942262	true
228	1	0	2	45	0.5	0.5	0.010773318	true
318	1	0	2	45	0.5	0.5	0.010773318	true
229	1	0	2	45	0.5	0.5	0.016718526	true
319	1	0	2	45	0.5	0.5	0.016718526	true
230	1	0	2	45	0.5	0.5	0.02594457	true
320	1	0	2	45	0.5	0.5	0.02594457	true
231	1	0	2	45	0.5	0.5	0.036406086	true
321	1	0	2	45	0.5	0.5	0.036406086	true
232	1	0	2	45	0.5	0.5	0.054572558	true
322	1	0	2	45	0.5	0.5	0.054572558	true
233	1	0	2	45	0.5	0.5	0.081804015	true
323	1	0	2	45	0.5	0.5	0.081804015	true
234	1	0	2	45	0.5	0.5	0.122623845	true
324	1	0	2	45	0.5	0.5	0.122623845	true
235	1	0	2	45	0.5	0.5	0.183812585	true
325	1	0	2	45	0.5	0.5	0.183812585	true
236	1	0	2	45	0.5	0.5	0.275534226	true
326	1	0	2	45	0.5	0.5	0.275534226	true
237	1	0	2	45	0.5	0.5	0.413024548	true
327	1	0	2	45	0.5	0.5	0.413024548	true
238	1	0	2	45	0.5	0.5	0.619121914	true
328	1	0	2	45	0.5	0.5	0.619121914	true
239	1	0	2	45	0.5	0.5	0.928060926	true
329	1	0	2	45	0.5	0.5	0.928060926	true
240	1	0	2	45	0.5	0.5	1.391159096	true
330	1	0	2	45	0.5	0.5	1.391159096	true
241	1	0	2	45	0.5	0.5	2.08534114	true
331	1	0	2	45	0.5	0.5	2.08534114	true
242	1	0	2	45	0.5	0.5	3.125916859	true
332	1	0	2	45	0.5	0.5	3.125916859	true
243	1	0	2	45	0.5	0.5	4.685735115	true
333	1	0	2	45	0.5	0.5	4.685735115	true
244	1	0	2	45	0.5	0.5	7.023895569	true
334	1	0	2	45	0.5	0.5	7.023895569	true
245	1	0	2	45	0.5	0.5	10.52878742	true
335	1	0	2	45	0.5	0.5	10.52878742	true
246	1	0	2	45	0.5	0.5	15.78260433	true
336	1	0	2	45	0.5	0.5	15.78260433	true
247	1	0	2	45	0.5	0.5	23.65805192	true
337	1	0	2	45	0.5	0.5	23.65805192	true
248	1	0	2	45	0.5	0.5	35.46331193	true
338	1	0	2	45	0.5	0.5	35.46331193	true
249	1	0	2	45	0.5	0.5	53.15934285	true
339	1	0	2	45	0.5	0.5	53.15934285	true
250	1	0	2	45	0.5	0.5	79.6856125	true
340	1	0	2	45	0.5	0.5	79.6856125	true
251	1	0	2	45	0.5	0.5	119.4483697	true
341	1	0	2	45	0.5	0.5	119.4483697	true
252	1	0	2	45	0.5	0.5	179.0525615	true
342	1	0	2	45	0.5	0.5	179.0525615	true
253	1	0	2	45	0.5	0.5	268.3989731	true
343	1	0	2	45	0.5	0.5	268.3989731	true
254	1	0	2	45	0.5	0.5	402.3288366	true
344	1	0	2	45	0.5	0.5	402.3288366	true
255	1	0	2	45	0.5	0.5	603.0890912	true
345	1	0	2	45	0.5	0.5	603.0890912	true
256	1	0	2	45	0.5	0.5	904.0277973	true
346	1	0	2	45	0.5	0.5	904.0277973	true
257	1	0	2	45	0.5	0.5	1355.133545	true
347	1	0	2	45	0.5	0.5	1355.133545	true
258	1	0	2	45	0.5	0.5	2031.339004	true
348	1	0	2	45	0.5	0.5	2031.339004	true
259	1	0	2	45	0.5	0.5	3044.967903	true
349	1	0	2	45	0.5	0.5	3044.967903	true
260	1	0	2	45	0.5	0.5	4564.393	true
350	1	0	2	45	0.5	0.5	4564.393	true
261	1	0	2	45	0.5	0.5	6842.004292	true
351	1	0	2	45	0.5	0.5	6842.004292	true
262	1	0	2	45	0.5	0.5	10256.13323	true
352	1	0	2	45	0.5	0.5	10256.13323	true
263	1	0	2	45	0.5	0.5	15373.89694	true
353	1	0	2	45	0.5	0.5	15373.89694	true
264	1	0	2	45	0.5	0.5	23045.4014	true
354	1	0	2	45	0.5	0.5	23045.4014	true
265	1	0	2	45	0.5	0.5	34544.95159	true
355	1	0	2	45	0.5	0.5	34544.95159	true
266	1	0	2	45	0.5	0.5	51782.7249	true
356	1	0	2	45	0.5	0.5	51782.7249	true
267	1	0	2	45	0.5	0.5	77622.06846	true
357	1	0	2	45	0.5	0.5	77622.06846	true
268	1	0	2	45	0.5	0.5	116355.1266	true
358	1	0	2	45	0.5	0.5	116355.1266	true
269	1	0	2	45	0.5	0.5	174415.8042	true
359	1	0	2	45	0.5	0.5	174415.8042	true
270	1	0	2	45	0.5	0.5	261448.495	true
360	1	0	2	45	0.5	0.5	261448.495	true
361	1	0	1	45	0.5	0.5	0.004473552	true
406	1	0	1	45	0.5	0.5	0.004473552	true
362	1	0	1	45	0.5	0.5	0.006942262	true
407	1	0	1	45	0.5	0.5	0.006942262	true
363	1	0	1	45	0.5	0.5	0.010773318	true
408	1	0	1	45	0.5	0.5	0.010773318	true
364	1	0	1	45	0.5	0.5	0.016718526	true
409	1	0	1	45	0.5	0.5	0.016718526	true
365	1	0	1	45	0.5	0.5	0.02594457	true
410	1	0	1	45	0.5	0.5	0.02594457	true
366	1	0	1	45	0.5	0.5	0.036406086	true
411	1	0	1	45	0.5	0.5	0.036406086	true
367	1	0	1	45	0.5	0.5	0.054572558	true
412	1	0	1	45	0.5	0.5	0.054572558	true
368	1	0	1	45	0.5	0.5	0.081804015	true
413	1	0	1	45	0.5	0.5	0.081804015	true
369	1	0	1	45	0.5	0.5	0.122623845	true
414	1	0	1	45	0.5	0.5	0.122623845	true
370	1	0	1	45	0.5	0.5	0.183812585	true
415	1	0	1	45	0.5	0.5	0.183812585	true
371	1	0	1	45	0.5	0.5	0.275534226	true
416	1	0	1	45	0.5	0.5	0.275534226	true
372	1	0	1	45	0.5	0.5	0.413024548	true
417	1	0	1	45	0.5	0.5	0.413024548	true
373	1	0	1	45	0.5	0.5	0.619121914	true
418	1	0	1	45	0.5	0.5	0.619121914	true
374	1	0	1	45	0.5	0.5	0.928060926	true
419	1	0	1	45	0.5	0.5	0.928060926	true
375	1	0	1	45	0.5	0.5	1.391159096	true
420	1	0	1	45	0.5	0.5	1.391159096	true
376	1	0	1	45	0.5	0.5	2.08534114	true
421	1	0	1	45	0.5	0.5	2.08534114	true
377	1	0	1	45	0.5	0.5	3.125916859	true
422	1	0	1	45	0.5	0.5	3.125916859	true
378	1	0	1	45	0.5	0.5	4.685735115	true
423	1	0	1	45	0.5	0.5	4.685735115	true
379	1	0	1	45	0.5	0.5	7.023895569	true
424	1	0	1	45	0.5	0.5	7.023895569	true
380	1	0	1	45	0.5	0.5	10.52878742	true
425	1	0	1	45	0.5	0.5	10.52878742	true
381	1	0	1	45	0.5	0.5	15.78260433	true
426	1	0	1	45	0.5	0.5	15.78260433	true
382	1	0	1	45	0.5	0.5	23.65805192	true
427	1	0	1	45	0.5	0.5	23.65805192	true
383	1	0	1	45	0.5	0.5	35.46331193	true
428	1	0	1	45	0.5	0.5	35.46331193	true
384	1	0	1	45	0.5	0.5	53.15934285	true
429	1	0	1	45	0.5	0.5	53.15934285	true
385	1	0	1	45	0.5	0.5	79.6856125	true
430	1	0	1	45	0.5	0.5	79.6856125	true
386	1	0	1	45	0.5	0.5	119.4483697	true
431	1	0	1	45	0.5	0.5	119.4483697	true
387	1	0	1	45	0.5	0.5	179.0525615	true
432	1	0	1	45	0.5	0.5	179.0525615	true
388	1	0	1	45	0.5	0.5	268.3989731	true
433	1	0	1	45	0.5	0.5	268.3989731	true
389	1	0	1	45	0.5	0.5	402.3288366	true
434	1	0	1	45	0.5	0.5	402.3288366	true
390	1	0	1	45	0.5	0.5	603.0890912	true
435	1	0	1	45	0.5	0.5	603.0890912	true
391	1	0	1	45	0.5	0.5	904.0277973	true
436	1	0	1	45	0.5	0.5	904.0277973	true
392	1	0	1	45	0.5	0.5	1355.133545	true
437	1	0	1	45	0.5	0.5	1355.133545	true
393	1	0	1	45	0.5	0.5	2031.339004	true
438	1	0	1	45	0.5	0.5	2031.339004	true
394	1	0	1	45	0.5	0.5	3044.967903	true
439	1	0	1	45	0.5	0.5	3044.967903	true
395	1	0	1	45	0.5	0.5	4564.393	true
440	1	0	1	45	0.5	0.5	4564.393	true
396	1	0	1	45	0.5	0.5	6842.004292	true
441	1	0	1	45	0.5	0.5	6842.004292	true
397	1	0	1	45	0.5	0.5	10256.13323	true
442	1	0	1	45	0.5	0.5	10256.13323	true
398	1	0	1	45	0.5	0.5	15373.89694	true
443	1	0	1	45	0.5	0.5	15373.89694	true
399	1	0	1	45	0.5	0.5	23045.4014	true
444	1	0	1	45	0.5	0.5	23045.4014	true
400	1	0	1	45	0.5	0.5	34544.95159	true
445	1	0	1	45	0.5	0.5	34544.95159	true
401	1	0	1	45	0.5	0.5	51782.7249	true
446	1	0	1	45	0.5	0.5	51782.7249	true
402	1	0	1	45	0.5	0.5	77622.06846	true
447	1	0	1	45	0.5	0.5	77622.06846	true
403	1	0	1	45	0.5	0.5	116355.1266	true
448	1	0	1	45	0.5	0.5	116355.1266	true
404	1	0	1	45	0.5	0.5	174415.8042	true
449	1	0	1	45	0.5	0.5	174415.8042	true
405	1	0	1	45	0.5	0.5	261448.495	true
450	1	0	1	45	0.5	0.5	261448.495	true
451	1	0	4	45	0.5	0.5	0.004473552	true
452	1	0	4	45	0.5	0.5	0.006942262	true
453	1	0	4	45	0.5	0.5	0.010773318	true
454	1	0	4	45	0.5	0.5	0.016718526	true
455	1	0	4	45	0.5	0.5	0.02594457	true
456	1	0	4	45	0.5	0.5	0.036406086	true
457	1	0	4	45	0.5	0.5	0.054572558	true
458	1	0	4	45	0.5	0.5	0.081804015	true
459	1	0	4	45	0.5	0.5	0.122623845	true
460	1	0	4	45	0.5	0.5	0.183812585	true
461	1	0	4	45	0.5	0.5	0.275534226	true
462	1	0	4	45	0.5	0.5	0.413024548	true
463	1	0	4	45	0.5	0.5	0.619121914	true
464	1	0	4	45	0.5	0.5	0.928060926	true
465	1	0	4	45	0.5	0.5	1.391159096	true
466	1	0	4	45	0.5	0.5	2.08534114	true
467	1	0	4	45	0.5	0.5	3.125916859	true
468	1	0	4	45	0.5	0.5	4.685735115	true
469	1	0	4	45	0.5	0.5	7.023895569	true
470	1	0	4	45	0.5	0.5	10.52878742	true
471	1	0	4	45	0.5	0.5	15.78260433	true
472	1	0	4	45	0.5	0.5	23.65805192	true
473	1	0	4	45	0.5	0.5	35.46331193	true
474	1	0	4	45	0.5	0.5	53.15934285	true
475	1	0	4	45	0.5	0.5	79.6856125	true
476	1	0	4	45	0.5	0.5	119.4483697	true
477	1	0	4	45	0.5	0.5	179.0525615	true
478	1	0	4	45	0.5	0.5	268.3989731	true
479	1	0	4	45	0.5	0.5	402.3288366	true
480	1	0	4	45	0.5	0.5	603.0890912	true
481	1	0	4	45	0.5	0.5	904.0277973	true
482	1	0	4	45	0.5	0.5	1355.133545	true
483	1	0	4	45	0.5	0.5	2031.339004	true
484	1	0	4	45	0.5	0.5	3044.967903	true
485	1	0	4	45	0.5	0.5	4564.393	true
486	1	0	4	45	0.5	0.5	6842.004292	true
487	1	0	4	45	0.5	0.5	10256.13323	true
488	1	0	4	45	0.5	0.5	15373.89694	true
489	1	0	4	45	0.5	0.5	23045.4014	true
490	1	0	4	45	0.5	0.5	34544.95159	true
491	1	0	4	45	0.5	0.5	51782.7249	true
492	1	0	4	45	0.5	0.5	77622.06846	true
493	1	0	4	45	0.5	0.5	116355.1266	true
494	1	0	4	45	0.5	0.5	174415.8042	true
495	1	0	4	45	0.5	0.5	261448.495	true
