time,cell_3000
1.0e-10,-14.5
3.0e-10,-14.5
7.000000000000001e-10,-14.5
1.5000000000000002e-9,-14.5
3.1000000000000005e-9,-14.5
6.3e-9,-14.5
1.2700000000000001e-8,-14.5
2.5500000000000003e-8,-14.5
5.11e-8,-14.5
1.0230000000000001e-7,-14.5
1.5350000000000002e-7,-14.5
2.0470000000000003e-7,-14.5
2.559e-7,-14.5
3.071e-7,-14.5
3.5829999999999997e-7,-14.5
4.0949999999999995e-7,-14.5
4.6069999999999994e-7,-14.5
5.118999999999999e-7,-14.5
6.142999999999999e-7,-14.5
7.166999999999998e-7,-14.5
8.190999999999998e-7,-14.5
9.214999999999998e-7,-14.5
1.0238999999999998e-6,-14.5
1.1263e-6,-14.5
1.2287e-6,-14.5
1.3311e-6,-14.5
1.4335000000000001e-6,-14.5
1.5359000000000002e-6,-14.5
1.6383000000000003e-6,-14.5
1.7407000000000003e-6,-14.5
1.8431000000000004e-6,-14.5
1.9455000000000003e-6,-14.5
2.0479000000000003e-6,-14.5
2.1503000000000004e-6,-14.5
2.2527000000000005e-6,-14.5
2.3551000000000005e-6,-14.5
2.4575000000000006e-6,-14.5
2.5599000000000007e-6,-14.5
2.6623000000000008e-6,-14.5
2.764700000000001e-6,-14.5
2.867100000000001e-6,-14.5
2.969500000000001e-6,-14.5
3.071900000000001e-6,-14.5
3.174300000000001e-6,-14.5
3.276700000000001e-6,-14.5
3.4815000000000013e-6,-14.5
3.6863000000000015e-6,-14.5
3.891100000000002e-6,-14.5
4.095900000000002e-6,-14.5
4.300700000000002e-6,-14.5
4.505500000000002e-6,-14.5
4.710300000000002e-6,-14.5
4.915100000000002e-6,-14.5
5.1199000000000024e-6,-14.5
5.3247000000000026e-6,-14.5
5.529500000000003e-6,-14.5
5.734300000000003e-6,-14.5
5.939100000000003e-6,-14.5
6.143900000000003e-6,-14.5
6.348700000000003e-6,-14.5
6.553500000000003e-6,-14.5
6.7583000000000035e-6,-14.5
6.963100000000004e-6,-14.5
7.167900000000004e-6,-14.5
7.372700000000004e-6,-14.5
7.577500000000004e-6,-14.5
7.987100000000004e-6,-14.5
8.396700000000004e-6,-14.5
8.806300000000004e-6,-14.5
9.215900000000004e-6,-14.5
9.625500000000005e-6,-14.5
1.0035100000000005e-5,-14.5
1.0444700000000005e-5,-14.5
1.0854300000000005e-5,-14.5
1.1263900000000006e-5,-14.5
1.1673500000000006e-5,-14.5
1.2083100000000006e-5,-14.5
1.2492700000000007e-5,-14.5
1.2902300000000007e-5,-14.5
1.3311900000000007e-5,-14.5
1.3721500000000007e-5,-14.5
1.4131100000000008e-5,-14.5
1.4540700000000008e-5,-14.5
1.535990000000001e-5,-14.5
1.617910000000001e-5,-14.5
1.699830000000001e-5,-14.5
1.781750000000001e-5,-14.5
1.863670000000001e-5,-14.5
1.945590000000001e-5,-14.5
2.0275100000000012e-5,-14.5
2.1094300000000012e-5,-14.5
2.1913500000000013e-5,-14.5
2.2732700000000014e-5,-14.5
2.3551900000000014e-5,-14.5
2.4371100000000015e-5,-14.5
2.5190300000000015e-5,-14.5
2.6828700000000016e-5,-14.5
2.8467100000000018e-5,-14.5
3.010550000000002e-5,-14.5
3.174390000000002e-5,-14.5
3.338230000000002e-5,-14.5
3.502070000000002e-5,-14.5
3.665910000000002e-5,-14.5
3.8297500000000024e-5,-14.5
3.9935900000000025e-5,-14.5
4.1574300000000026e-5,-14.5
4.321270000000003e-5,-14.5
4.648950000000003e-5,-14.5
4.976630000000003e-5,-14.5
5.3043100000000034e-5,-14.5
5.6319900000000037e-5,-14.5
5.959670000000004e-5,-14.5
6.287350000000004e-5,-14.5
6.615030000000004e-5,-14.5
6.942710000000005e-5,-14.5
7.598070000000005e-5,-14.5
8.253430000000005e-5,-14.5
8.908790000000006e-5,-14.5
9.564150000000006e-5,-14.5
0.00010219510000000007,-14.5
0.00010874870000000007,-14.5
0.00011530230000000008,-14.5
0.00012840950000000007,-14.5
0.00014151670000000008,-14.5
0.0001546239000000001,-14.5
0.0001677311000000001,-14.5
0.0001808383000000001,-14.5
0.0002070527000000001,-14.5
0.0002332671000000001,-14.5
0.0002594815000000001,-14.5
0.0002856959000000001,-14.5
0.0003381247000000001,-14.5
0.0003905535000000001,-14.5
0.00044298230000000007,-14.5
0.0004954111000000001,-14.5
0.0006002687000000001,-14.5
0.0007051263,-14.5
0.0009148415000000001,-14.5
0.0011245567,-14.5
0.0015439871000000002,-14.5
0.0017537023,-14.5
0.0019634175,-14.5
0.0020682751,-14.5
0.0021731327,-14.5
0.0022779903000000002,-14.5
0.0023828479000000003,-14.5
0.0024352767000000003,-14.5
0.0024877055000000004,-14.5
0.0025401343000000004,-14.5
0.0025925631000000005,-14.5
0.0026449919000000005,-14.5
0.0026974207000000005,-14.5
0.0027498495000000006,-14.5
0.0028022783000000006,-14.5
0.0028547071000000006,-14.5
0.0029071359000000007,-14.5
0.0029595647000000007,-14.5
0.0030119935000000007,-14.5
0.0030644223000000008,-14.5
0.003116851100000001,-14.5
0.003169279900000001,-14.5
0.003221708700000001,-14.5
0.003274137500000001,-14.5
0.003326566300000001,-14.5
0.003378995100000001,-14.5
0.003431423900000001,-14.5
0.003483852700000001,-14.5
0.003536281500000001,-14.5
0.003588710300000001,-14.5
0.003641139100000001,-14.5
0.003693567900000001,-14.5
0.0037459967000000012,-14.5
0.0037984255000000013,-14.5
0.0038508543000000013,-14.5
0.0039032831000000013,-14.5
0.003955711900000001,-14.5
0.004008140700000001,-14.5
0.004060569500000001,-14.5
0.0041129983,-14.5
0.0041654271,-14.5
0.004217855899999999,-14.5
0.004270284699999999,-14.5
0.004322713499999999,-14.5
0.004375142299999998,-14.5
0.004427571099999998,-14.5
0.004479999899999997,-14.5
0.004532428699999997,-14.5
0.004584857499999997,-14.5
0.004637286299999996,-14.5
0.004689715099999996,-14.5
0.004742143899999995,-14.5
0.004794572699999995,-14.5
0.004847001499999995,-14.5
0.004899430299999994,-14.5
0.004951859099999994,-14.5
0.005004287899999993,-14.5
0.005056716699999993,-14.5
0.005109145499999993,-14.5
0.005161574299999992,-14.5
0.005214003099999992,-14.5
0.0052664318999999914,-14.5
0.005318860699999991,-14.5
0.005371289499999991,-14.5
0.00542371829999999,-14.5
0.00547614709999999,-14.5
0.0055285758999999894,-14.5
0.005581004699999989,-14.5
0.005633433499999989,-14.5
0.005685862299999988,-14.5
0.005738291099999988,-14.5
0.0057907198999999875,-14.5
0.005843148699999987,-14.5
0.005895577499999987,-14.5
0.005948006299999986,-14.5
0.006000435099999986,-14.5
0.0060528638999999855,-14.5
0.006105292699999985,-14.5
0.006157721499999985,-14.5
0.006210150299999984,-14.5
0.006262579099999984,-14.5
0.0063150078999999835,-14.5
0.006367436699999983,-14.5
0.006419865499999983,-14.5
0.006472294299999982,-14.5
0.006524723099999982,-14.5
0.0065771518999999815,-14.5
0.006629580699999981,-14.5
0.006682009499999981,-14.5
0.00673443829999998,-14.5
0.00678686709999998,-14.5
0.0068392958999999795,-14.5
0.006891724699999979,-14.5
0.006944153499999979,-14.5
0.006996582299999978,-14.5
0.007049011099999978,-14.5
0.0071014398999999775,-14.5
0.007153868699999977,-14.5
0.007206297499999977,-14.5
0.007311155099999977,-14.5
0.007416012699999977,-14.5
0.007520870299999977,-14.5
0.007625727899999977,-14.5
0.007730585499999977,-14.5
0.007835443099999976,-14.5
0.007940300699999975,-14.5
0.008045158299999975,-14.5
0.008150015899999974,-14.5
0.008254873499999973,-14.5
0.008359731099999972,-14.5
0.008464588699999972,-14.5
0.00856944629999997,-14.5
0.00867430389999997,-14.5
0.008779161499999969,-14.5
0.008884019099999968,-14.5
0.008988876699999968,-14.5
0.009093734299999967,-14.5
0.009198591899999966,-14.5
0.009303449499999965,-14.5
0.009408307099999964,-14.5
0.009513164699999964,-14.5
0.009618022299999963,-14.5
0.009722879899999962,-14.5
0.009827737499999961,-14.5
0.00993259509999996,-14.5
0.01003745269999996,-14.5
0.010142310299999959,-14.5
0.010247167899999958,-14.5
0.010352025499999957,-14.5
0.010456883099999956,-14.5
0.010561740699999956,-14.5
0.010666598299999955,-14.5
0.010771455899999954,-14.5
0.010876313499999953,-14.5
0.010981171099999952,-14.5
0.011086028699999952,-14.5
0.01119088629999995,-14.5
0.01129574389999995,-14.5
0.01140060149999995,-14.5
0.011505459099999948,-14.5
0.011610316699999948,-14.5
0.011715174299999947,-14.5
0.011820031899999946,-14.5
0.011924889499999945,-14.5
0.012029747099999944,-14.5
0.012239462299999945,-14.5
0.012449177499999945,-14.5
0.012658892699999945,-14.5
0.012868607899999945,-14.5
0.013078323099999945,-14.5
0.013288038299999945,-14.5
0.013497753499999945,-14.5
0.013707468699999946,-14.5
0.013917183899999946,-14.5
0.014126899099999946,-14.5
0.014336614299999946,-14.5
0.014546329499999946,-14.5
0.014756044699999946,-14.5
0.014965759899999946,-14.5
0.015175475099999947,-14.5
0.015385190299999947,-14.5
0.015594905499999947,-14.5
0.015804620699999945,-14.5
0.016014335899999944,-14.5
0.016224051099999942,-14.5
0.016643481499999942,-14.5
0.017062911899999943,-14.5
0.017482342299999943,-14.5
0.017901772699999943,-14.5
0.018321203099999944,-14.5
0.018740633499999944,-14.5
0.019160063899999944,-14.5
0.019579494299999944,-14.5
0.019998924699999945,-14.5
0.020418355099999945,-14.5
0.020837785499999945,-14.5
0.021257215899999946,-14.5
0.022096076699999946,-14.5
0.022934937499999947,-14.5
0.023773798299999947,-14.5
0.024612659099999948,-14.5
0.02545151989999995,-14.5
0.02629038069999995,-14.5
0.02712924149999995,-14.5
0.02796810229999995,-14.5
0.02880696309999995,-14.5
0.02922639349999995,-14.5
0.02964582389999995,-14.5
0.03006525429999995,-14.5
0.030484684699999952,-14.5
0.030904115099999952,-14.5
0.03132354549999995,-14.5
0.031533260699999954,-14.5
0.031742975899999956,-14.5
0.03195269109999996,-14.5
0.03216240629999996,-14.5
0.03237212149999996,-14.5
0.032581836699999964,-14.5
0.032791551899999966,-14.5
0.03300126709999997,-14.5
0.03321098229999997,-14.5
0.03342069749999997,-14.5
0.03363041269999997,-14.5
0.033840127899999975,-14.5
0.03404984309999998,-14.5
0.03425955829999998,-14.5
0.03446927349999998,-14.5
0.03467898869999998,-14.5
0.034888703899999984,-14.5
0.035098419099999986,-14.5
0.03530813429999999,-14.5
0.03551784949999999,-14.5
0.03572756469999999,-14.5
0.035937279899999994,-14.5
0.036146995099999996,-14.5
0.0363567103,-14.5
0.0365664255,-14.5
0.0367761407,-14.5
0.0369858559,-14.5
0.037195571100000005,-14.5
0.03740528630000001,-14.5
0.03761500150000001,-14.5
0.03782471670000001,-14.5
0.03803443190000001,-14.5
0.038244147100000014,-14.5
0.038453862300000016,-14.5
0.03866357750000002,-14.5
0.03887329270000002,-14.5
0.03908300790000002,-14.5
0.039292723100000024,-14.5
0.039502438300000026,-14.5
0.03971215350000003,-14.5
0.03992186870000003,-14.5
0.04013158390000003,-14.5
0.04034129910000003,-14.5
0.040551014300000035,-14.5
0.04076072950000004,-14.5
0.04097044470000004,-14.5
0.04118015990000004,-14.5
0.04138987510000004,-14.5
0.041599590300000044,-14.5
0.041809305500000046,-14.5
0.04201902070000005,-14.5
0.04222873590000005,-14.5
0.04243845110000005,-14.5
0.042648166300000054,-14.5
0.042857881500000056,-14.5
0.04306759670000006,-14.5
0.04327731190000006,-14.5
0.04348702710000006,-14.5
0.04369674230000006,-14.5
0.043906457500000065,-14.5
0.04411617270000007,-14.5
0.04432588790000007,-14.5
0.04453560310000007,-14.5
0.04474531830000007,-14.5
0.044955033500000074,-14.5
0.045164748700000076,-14.5
0.04537446390000008,-14.5
0.04558417910000008,-14.5
0.04579389430000008,-14.5
0.046003609500000084,-14.5
0.046213324700000086,-14.5
0.04642303990000009,-14.5
0.04663275510000009,-14.5
0.04684247030000009,-14.5
0.04705218550000009,-14.5
0.047261900700000095,-14.5
0.0474716159000001,-14.5
0.0476813311000001,-14.5
0.0478910463000001,-14.5
0.0481007615000001,-14.5
0.048310476700000105,-14.5
0.048520191900000106,-14.5
0.04872990710000011,-14.5
0.04893962230000011,-14.5
0.04914933750000011,-14.5
0.049359052700000114,-14.5
0.049568767900000116,-14.5
0.04977848310000012,-14.5
0.04998819830000012,-14.5
0.05019791350000012,-14.5
0.05040762870000012,-14.5
0.050617343900000125,-14.5
0.05082705910000013,-14.5
0.05103677430000013,-14.5
0.05124648950000013,-14.5
0.05145620470000013,-14.5
0.051665919900000135,-14.5
0.051875635100000136,-14.5
0.05208535030000014,-14.5
0.05229506550000014,-14.5
0.05250478070000014,-14.5
0.052714495900000144,-14.5
0.052924211100000146,-14.5
0.05313392630000015,-14.5
0.05334364150000015,-14.5
0.05355335670000015,-14.5
0.05376307190000015,-14.5
0.053972787100000155,-14.5
0.05418250230000016,-14.5
0.05439221750000016,-14.5
0.05460193270000016,-14.5
0.05481164790000016,-14.5
0.055021363100000165,-14.5
0.055231078300000166,-14.5
0.05544079350000017,-14.5
0.05565050870000017,-14.5
0.05606993910000017,-14.5
0.056489369500000164,-14.5
0.05690879990000016,-14.5
0.05732823030000016,-14.5
0.057747660700000154,-14.5
0.05816709110000015,-14.5
0.05858652150000015,-14.5
0.059005951900000145,-14.5
0.05942538230000014,-14.5
0.05984481270000014,-14.5
0.060264243100000135,-14.5
0.06068367350000013,-14.5
0.06110310390000013,-14.5
0.061522534300000126,-14.5
0.06194196470000012,-14.5
0.06236139510000012,-14.5
0.06278082550000012,-14.5
0.06320025590000013,-14.5
0.06361968630000013,-14.5
0.06403911670000013,-14.5
0.06445854710000014,-14.5
0.06487797750000014,-14.5
0.06529740790000015,-14.5
0.06571683830000015,-14.5
0.06613626870000015,-14.5
0.06655569910000016,-14.5
0.06697512950000016,-14.5
0.06739455990000016,-14.5
0.06781399030000017,-14.5
0.06823342070000017,-14.5
0.06865285110000018,-14.5
0.06949171190000017,-14.5
0.07033057270000016,-14.5
0.07116943350000016,-14.5
0.07200829430000015,-14.5
0.07242772470000015,-14.5
0.07284715510000016,-14.5
0.07326658550000016,-14.5
0.07368601590000017,-14.5
0.07410544630000017,-14.5
0.07452487670000017,-14.5
0.07494430710000018,-14.5
0.07536373750000018,-14.5
0.07578316790000018,-14.5
0.07620259830000019,-14.5
0.07662202870000019,-14.5
0.0770414591000002,-14.5
0.0774608895000002,-14.5
0.0778803199000002,-14.5
0.0782997503000002,-14.5
0.07871918070000021,-14.5
0.07913861110000021,-14.5
0.07955804150000022,-14.5
0.07997747190000022,-14.5
0.08039690230000023,-14.5
0.08081633270000023,-14.5
0.08123576310000023,-14.5
0.08165519350000024,-14.5
0.08207462390000024,-14.5
0.08249405430000024,-14.5
0.08291348470000025,-14.5
0.08333291510000025,-14.5
0.08375234550000026,-14.5
0.08417177590000026,-14.5
0.08459120630000026,-14.5
0.08501063670000027,-14.5
0.08543006710000027,-14.5
0.08584949750000027,-14.5
0.08626892790000028,-14.5
0.08668835830000028,-14.5
0.08710778870000029,-14.5
0.08752721910000029,-14.5
0.08794664950000029,-14.5
0.0883660799000003,-14.5
0.0887855103000003,-14.5
0.0892049407000003,-14.5
0.08962437110000031,-14.5
0.09004380150000031,-14.5
0.09046323190000032,-14.5
0.09088266230000032,-14.5
0.09130209270000032,-14.5
0.09214095350000032,-14.5
0.09297981430000031,-14.5
0.0938186751000003,-14.5
0.0946575359000003,-14.5
0.09549639670000029,-14.5
0.09633525750000028,-14.5
0.09717411830000028,-14.5
0.09801297910000027,-14.5
0.09885183990000027,-14.5
0.09969070070000026,-14.5
0.10052956150000025,-14.5
0.10136842230000025,-14.5
0.10220728310000024,-14.5
0.10304614390000023,-14.5
0.10388500470000023,-14.5
0.10472386550000022,-14.5
0.10514329590000022,-14.5
0.10556272630000023,-14.5
0.10598215670000023,-14.5
0.10640158710000024,-14.5
0.10682101750000024,-14.5
0.10724044790000024,-14.5
0.10765987830000025,-14.5
0.10807930870000025,-14.5
0.10849873910000025,-14.5
0.10891816950000026,-14.5
0.10933759990000026,-14.5
0.10975703030000027,-14.5
0.11017646070000027,-14.5
0.11059589110000027,-14.5
0.11101532150000028,-14.5
0.11143475190000028,-14.5
0.11185418230000028,-14.5
0.11227361270000029,-14.5
0.11269304310000029,-14.5
0.1131124735000003,-14.5
0.1135319039000003,-14.5
0.1139513343000003,-14.5
0.11437076470000031,-14.5
0.11479019510000031,-14.5
0.11520962550000031,-14.5
0.11562905590000032,-14.5
0.11604848630000032,-14.5
0.11646791670000033,-14.5
0.11688734710000033,-14.5
0.11730677750000033,-14.5
0.11772620790000034,-14.5
0.11814563830000034,-14.5
0.11856506870000035,-14.5
0.11898449910000035,-14.5
0.11940392950000035,-14.5
0.11982335990000036,-14.5
0.12024279030000036,-14.5
0.12066222070000036,-14.5
0.12108165110000037,-14.5
0.12150108150000037,-14.5
0.12192051190000038,-14.5
0.12233994230000038,-14.5
0.12275937270000038,-14.5
0.12317880310000039,-14.5
0.12359823350000039,-14.5
0.1240176639000004,-14.5
0.1244370943000004,-14.5
0.1248565247000004,-14.5
0.1252759551000004,-14.5
0.1256953855000004,-14.5
0.1261148159000004,-14.5
0.1265342463000004,-14.5
0.1269536767000004,-14.5
0.1273731071000004,-14.5
0.1277925375000004,-14.5
0.12821196790000042,-14.5
0.12863139830000042,-14.5
0.12905082870000043,-14.5
0.12947025910000043,-14.5
0.12988968950000043,-14.5
0.13030911990000044,-14.5
0.13072855030000044,-14.5
0.13114798070000044,-14.5
0.13156741110000045,-14.5
0.13198684150000045,-14.5
0.13240627190000046,-14.5
0.13282570230000046,-14.5
0.13324513270000046,-14.5
0.13366456310000047,-14.5
0.13408399350000047,-14.5
0.13450342390000047,-14.5
0.13492285430000048,-14.5
0.13534228470000048,-14.5
0.13576171510000049,-14.5
0.1361811455000005,-14.5
0.1366005759000005,-14.5
0.1370200063000005,-14.5
0.1374394367000005,-14.5
0.1378588671000005,-14.5
0.1382782975000005,-14.5
0.1386977279000005,-14.5
0.13911715830000052,-14.5
0.13953658870000052,-14.5
0.13995601910000052,-14.5
0.14037544950000053,-14.5
0.14079487990000053,-14.5
0.14121431030000053,-14.5
0.14163374070000054,-14.5
0.14205317110000054,-14.5
0.14247260150000055,-14.5
0.14289203190000055,-14.5
0.14331146230000055,-14.5
0.14373089270000056,-14.5
0.14415032310000056,-14.5
0.14456975350000056,-14.5
0.14498918390000057,-14.5
0.14540861430000057,-14.5
0.14582804470000058,-14.5
0.14624747510000058,-14.5
0.14666690550000058,-14.5
0.1470863359000006,-14.5
0.1475057663000006,-14.5
0.1479251967000006,-14.5
0.1483446271000006,-14.5
0.1487640575000006,-14.5
0.1491834879000006,-14.5
0.1496029183000006,-14.5
0.1500223487000006,-14.5
0.15044177910000062,-14.5
0.15086120950000062,-14.5
0.15128063990000062,-14.5
0.15170007030000063,-14.5
0.15211950070000063,-14.5
0.15253893110000064,-14.5
0.15295836150000064,-14.5
0.15337779190000064,-14.5
0.15379722230000065,-14.5
0.15421665270000065,-14.5
0.15505551350000066,-14.5
0.15589437430000067,-14.5
0.15673323510000067,-14.5
0.15757209590000068,-14.5
0.1584109567000007,-14.5
0.1592498175000007,-14.5
0.1600886783000007,-14.5
0.1609275391000007,-14.5
0.16176639990000072,-14.5
0.16260526070000073,-14.5
0.16344412150000073,-14.5
0.16428298230000074,-14.5
0.16512184310000075,-14.5
0.16596070390000076,-14.5
0.16679956470000076,-14.5
0.16763842550000077,-14.5
0.16847728630000078,-14.5
0.16931614710000079,-14.5
0.1701550079000008,-14.5
0.1709938687000008,-14.5
0.1718327295000008,-14.5
0.17267159030000082,-14.5
0.17351045110000082,-14.5
0.17434931190000083,-14.5
0.17518817270000084,-14.5
0.17602703350000085,-14.5
0.17686589430000085,-14.5
0.17770475510000086,-14.5
0.17854361590000087,-14.5
0.17938247670000088,-14.5
0.18022133750000088,-14.5
0.1810601983000009,-14.5
0.1818990591000009,-14.5
0.1827379199000009,-14.5
0.1835767807000009,-14.5
0.18441564150000092,-14.5
0.18525450230000093,-14.5
0.18609336310000094,-14.5
0.18693222390000094,-14.5
0.18777108470000095,-14.5
0.18860994550000096,-14.5
0.18944880630000097,-14.5
0.19028766710000097,-14.5
0.19112652790000098,-14.5
0.191965388700001,-14.5
0.192804249500001,-14.5
0.193643110300001,-14.5
0.194481971100001,-14.5
0.19532083190000102,-14.5
0.19615969270000103,-14.5
0.19699855350000103,-14.5
0.19783741430000104,-14.5
0.19867627510000105,-14.5
0.19951513590000106,-14.5
0.20035399670000106,-14.5
0.20119285750000107,-14.5
0.20203171830000108,-14.5
0.20287057910000109,-14.5
0.2037094399000011,-14.5
0.2045483007000011,-14.5
0.2053871615000011,-14.5
0.20622602230000112,-14.5
0.20706488310000112,-14.5
0.20748431350000113,-14.5
0.20790374390000113,-14.5
0.20832317430000113,-14.5
0.20874260470000114,-14.5
0.20916203510000114,-14.5
0.20958146550000115,-14.5
0.21000089590000115,-14.5
0.21042032630000115,-14.5
0.21083975670000116,-14.5
0.21125918710000116,-14.5
0.21167861750000116,-14.5
0.21209804790000117,-14.5
0.21251747830000117,-14.5
0.21293690870000118,-14.5
0.21335633910000118,-14.5
0.21377576950000118,-14.5
0.2141951999000012,-14.5
0.2146146303000012,-14.5
0.2150340607000012,-14.5
0.2154534911000012,-14.5
0.2158729215000012,-14.5
0.2162923519000012,-14.5
0.2167117823000012,-14.5
0.2171312127000012,-14.5
0.21755064310000122,-14.5
0.21797007350000122,-14.5
0.21838950390000123,-14.5
0.21880893430000123,-14.5
0.21922836470000123,-14.5
0.21964779510000124,-14.5
0.22006722550000124,-14.5
0.22048665590000124,-14.5
0.22090608630000125,-14.5
0.22132551670000125,-14.5
0.22174494710000126,-14.5
0.22216437750000126,-14.5
0.22258380790000126,-14.5
0.22300323830000127,-14.5
0.22342266870000127,-14.5
0.22384209910000127,-14.5
0.22426152950000128,-14.5
0.22468095990000128,-14.5
0.22510039030000129,-14.5
0.2255198207000013,-14.5
0.2259392511000013,-14.5
0.2263586815000013,-14.5
0.2267781119000013,-14.5
0.2271975423000013,-14.5
0.2276169727000013,-14.5
0.2280364031000013,-14.5
0.22845583350000132,-14.5
0.22887526390000132,-14.5
0.22929469430000132,-14.5
0.22971412470000133,-14.5
0.23013355510000133,-14.5
0.23055298550000133,-14.5
0.23097241590000134,-14.5
0.23139184630000134,-14.5
0.23181127670000135,-14.5
0.23265013750000135,-14.5
0.23348899830000136,-14.5
0.23432785910000137,-14.5
0.23516671990000138,-14.5
0.23600558070000138,-14.5
0.2368444415000014,-14.5
0.2376833023000014,-14.5
0.2385221631000014,-14.5
0.2393610239000014,-14.5
0.24019988470000142,-14.5
0.24103874550000143,-14.5
0.24187760630000144,-14.5
0.24271646710000144,-14.5
0.24355532790000145,-14.5
0.24439418870000146,-14.5
0.24523304950000147,-14.5
0.24607191030000147,-14.5
0.24691077110000148,-14.5
0.2477496319000015,-14.5
0.2485884927000015,-14.5
0.2494273535000015,-14.5
0.2502662143000015,-14.5
0.2511050751000015,-14.5
0.2519439359000015,-14.5
0.25278279670000153,-14.5
0.25362165750000154,-14.5
0.25446051830000155,-14.5
0.25529937910000156,-14.5
0.25613823990000156,-14.5
0.25697710070000157,-14.5
0.2578159615000016,-14.5
0.2586548223000016,-14.5
0.2594936831000016,-14.5
0.2603325439000016,-14.5
0.2611714047000016,-14.5
0.2620102655000016,-14.5
0.2628491263000016,-14.5
0.26368798710000163,-14.5
0.26452684790000164,-14.5
0.26536570870000165,-14.5
0.26620456950000165,-14.5
0.26704343030000166,-14.5
0.26788229110000167,-14.5
0.2687211519000017,-14.5
0.2695600127000017,-14.5
0.2703988735000017,-14.5
0.2712377343000017,-14.5
0.2720765951000017,-14.5
0.2729154559000017,-14.5
0.2737543167000017,-14.5
0.27459317750000173,-14.5
0.27543203830000174,-14.5
0.27627089910000174,-14.5
0.27710975990000175,-14.5
0.27794862070000176,-14.5
0.27878748150000177,-14.5
0.2796263423000018,-14.5
0.2804652031000018,-14.5
0.2813040639000018,-14.5
0.2821429247000018,-14.5
0.2829817855000018,-14.5
0.2838206463000018,-14.5
0.2846595071000018,-14.5
0.2854983679000018,-14.5
0.28633722870000183,-14.5
0.28717608950000184,-14.5
0.28801495030000185,-14.5
0.28885381110000186,-14.5
0.28969267190000186,-14.5
0.29053153270000187,-14.5
0.2913703935000019,-14.5
0.2922092543000019,-14.5
0.2930481151000019,-14.5
0.2938869759000019,-14.5
0.2947258367000019,-14.5
0.2955646975000019,-14.5
0.2964035583000019,-14.5
0.29724241910000193,-14.5
0.29808127990000194,-14.5
0.29892014070000195,-14.5
0.29975900150000195,-14.5
0.30059786230000196,-14.5
0.30143672310000197,-14.5
0.302275583900002,-14.5
0.303114444700002,-14.5
0.303953305500002,-14.5
0.304792166300002,-14.5
0.305631027100002,-14.5
0.306469887900002,-14.5
0.307308748700002,-14.5
0.30814760950000203,-14.5
0.30898647030000204,-14.5
0.30982533110000204,-14.5
0.31150305270000206,-14.5
0.3131807743000021,-14.5
0.3148584959000021,-14.5
0.3165362175000021,-14.5
0.3182139391000021,-14.5
0.31989166070000213,-14.5
0.32156938230000215,-14.5
0.32324710390000216,-14.5
0.3249248255000022,-14.5
0.3266025471000022,-14.5
0.3282802687000022,-14.5
0.3299579903000022,-14.5
0.33163571190000224,-14.5
0.33331343350000225,-14.5
0.33499115510000227,-14.5
0.3358300159000023,-14.5
0.3366688767000023,-14.5
0.3375077375000023,-14.5
0.3383465983000023,-14.5
0.3391854591000023,-14.5
0.3400243199000023,-14.5
0.3408631807000023,-14.5
0.34170204150000233,-14.5
0.34254090230000234,-14.5
0.34337976310000234,-14.5
